state,signals_received,pct_total_signals,cases_identified,pct_total_cases,year,state_abbr,state_fips,signals_per_case,raw_case_rank,state_name_census_x,population_2024,signals_per_100k,cases_per_100k,cases_per_100k_rank,signals_per_100k_rank,rank_change_after_adjustment,state_name_census_y,median_household_income,poverty_rate,unemployment_rate,higher_reporting_rate,federal_awards,funded_organizations,total_award_value,organizations_per_1m,awards_per_1m,cases_per_funded_organization,higher_reporting,lower_resource_density,resource_pressure_signal,resource_position
Louisiana,266,0.82,133,1.11,2024,LA,22,2.0,25,Louisiana,4611961,5.77,2.88,29,32,-4,Louisiana,60756,18.9,6.3,False,3.0,3.0,1966077.63,0.650482517089802,0.650482517089802,44.333333333333336,False,False,False,Lower Reporting + Higher Resources
Maine,88,0.27,41,0.34,2024,ME,23,2.15,41,Maine,1387817,6.34,2.95,26,22,15,Maine,74733,10.7,3.8,False,2.0,2.0,1536559.72,1.4411121927458734,1.4411121927458734,20.5,False,False,False,Lower Reporting + Higher Resources
Maryland,359,1.11,179,1.49,2024,MD,24,2.01,20,Maryland,6206011,5.78,2.88,29,30,-9,Maryland,103678,9.4,4.9,False,9.0,7.0,5001306.85,1.127938703299108,1.45020690424171,25.571428571428573,False,False,False,Lower Reporting + Higher Resources
Massachusetts,288,0.89,115,0.96,2024,MA,25,2.5,28,Massachusetts,7044056,4.09,1.63,49,45,-21,Massachusetts,103960,10.0,5.2,False,11.0,9.0,7639716.18,1.2776729770461792,1.5616003052786633,12.777777777777779,False,False,False,Lower Reporting + Higher Resources
Michigan,764,2.36,340,2.83,2024,MI,26,2.25,7,Michigan,10077761,7.58,3.37,17,16,-10,Michigan,72875,13.2,5.7,False,10.0,7.0,5885320.84,0.6945987308093534,0.9922839011562191,48.57142857142857,False,False,False,Lower Reporting + Higher Resources
Minnesota,229,0.71,83,0.69,2024,MN,27,2.76,34,Minnesota,5739445,3.99,1.45,51,47,-17,Minnesota,89062,9.3,4.1,False,7.0,5.0,4949636.22,0.8711643721649045,1.2196301210308662,16.6,False,False,False,Lower Reporting + Higher Resources
Mississippi,303,0.94,195,1.62,2024,MS,28,1.55,18,Mississippi,2946779,10.28,6.62,3,5,15,Mississippi,56447,18.9,5.8,True,3.0,3.0,2099977.0,1.0180607368248518,1.0180607368248518,65.0,True,False,False,Higher Reporting + Higher Resources
Missouri,696,2.15,272,2.27,2024,MO,29,2.56,12,Missouri,6191814,11.24,4.39,6,3,6,Missouri,70702,12.6,4.0,True,5.0,3.0,3346205.72,0.4845106781308353,0.8075177968847256,90.66666666666667,True,True,True,Potential Resource Pressure
Montana,84,0.26,43,0.36,2024,MT,30,1.95,40,Montana,1116875,7.52,3.85,9,17,31,Montana,72509,11.5,3.6,True,0.0,0.0,0.0,0.0,0.0,,True,True,True,Potential Resource Pressure
Nebraska,148,0.46,71,0.59,2024,NE,31,2.08,37,Nebraska,1978707,7.48,3.59,15,18,22,Nebraska,76475,10.6,3.0,False,3.0,3.0,2650717.0700000003,1.5161416015610194,1.5161416015610194,23.666666666666668,False,False,False,Lower Reporting + Higher Resources
Nevada,418,1.29,236,1.97,2024,NV,32,1.77,15,Nevada,3184612,13.13,7.41,2,2,13,Nevada,78260,12.4,7.0,True,5.0,3.0,3737365.84,0.9420299866985367,1.5700499778308943,78.66666666666667,True,False,False,Higher Reporting + Higher Resources
New Hampshire,45,0.14,22,0.18,2024,NH,33,2.05,46,New Hampshire,1394868,3.23,1.58,50,50,-4,New Hampshire,99031,7.2,3.3,False,1.0,1.0,583586.0,0.7169137151329015,0.7169137151329015,22.0,False,False,False,Lower Reporting + Higher Resources
New Jersey,884,2.74,269,2.24,2024,NJ,34,3.29,14,New Jersey,9343809,9.46,2.88,29,6,-15,New Jersey,103556,9.7,6.3,False,10.0,8.0,7106586.33,0.8561818847110423,1.070227355888803,33.625,False,False,False,Lower Reporting + Higher Resources
New Mexico,143,0.44,78,0.65,2024,NM,35,1.83,36,New Mexico,2120246,6.74,3.68,14,20,22,New Mexico,64059,17.8,6.0,False,7.0,4.0,5173914.96,1.8865735391081977,3.3015036934393462,19.5,False,False,False,Lower Reporting + Higher Resources
New York,1191,3.69,570,4.75,2024,NY,36,2.09,4,New York,19852366,6.0,2.87,32,28,-28,New York,85974,14.0,6.4,False,40.0,29.0,24999211.36,1.4607830623312101,2.014873189422359,19.655172413793103,False,False,False,Lower Reporting + Higher Resources
North Carolina,638,1.97,301,2.51,2024,NC,37,2.12,9,North Carolina,10730404,5.95,2.81,34,29,-25,North Carolina,72388,13.0,4.7,False,6.0,4.0,3642279.55,0.3727725442583522,0.5591588163875284,75.25,False,True,False,Lower Reporting + Lower Resources
North Dakota,44,0.14,21,0.17,2024,ND,38,2.1,48,North Dakota,784841,5.61,2.68,36,34,12,North Dakota,76657,10.8,2.8,False,4.0,3.0,3249848.0,3.8224302756864135,5.096573700915217,7.0,False,False,False,Lower Reporting + Higher Resources
Ohio,671,2.08,334,2.78,2024,OH,39,2.01,8,Ohio,11810293,5.68,2.83,33,33,-25,Ohio,71389,13.3,4.8,False,13.0,7.0,9582685.41,0.5927033308995806,1.1007347573849353,47.714285714285715,False,False,False,Lower Reporting + Higher Resources
Oklahoma,255,0.79,125,1.04,2024,OK,40,2.04,27,Oklahoma,4028634,6.33,3.1,21,23,6,Oklahoma,65039,15.3,5.0,False,5.0,5.0,2477345.28,1.2411154748731208,1.2411154748731208,25.0,False,False,False,Lower Reporting + Higher Resources
Oregon,368,1.14,160,1.33,2024,OR,41,2.3,21,Oregon,4254293,8.65,3.76,11,7,10,Oregon,83011,11.9,5.4,True,5.0,5.0,3690385.22,1.175283413718801,1.175283413718801,32.0,True,False,False,Higher Reporting + Higher Resources
Pennsylvania,641,1.98,287,2.39,2024,PA,42,2.23,11,Pennsylvania,13018639,4.92,2.2,43,40,-32,Pennsylvania,77971,11.7,5.3,False,7.0,6.0,5083876.44,0.4608776693170461,0.5376906142032205,47.833333333333336,False,True,False,Lower Reporting + Lower Resources
Rhode Island,30,0.09,19,0.16,2024,RI,44,1.58,49,Rhode Island,1101801,2.72,1.72,47,51,2,Rhode Island,87796,11.2,5.8,False,1.0,1.0,723619.0,0.9076049123208274,0.9076049123208274,19.0,False,False,False,Lower Reporting + Higher Resources
South Carolina,267,0.83,136,1.13,2024,SC,45,1.96,24,South Carolina,5296225,5.04,2.57,40,37,-16,South Carolina,69324,14.1,4.9,False,3.0,3.0,1944240.0,0.5664411916034534,0.5664411916034534,45.333333333333336,False,True,False,Lower Reporting + Lower Resources
South Dakota,75,0.23,34,0.28,2024,SD,46,2.21,43,South Dakota,907428,8.27,3.75,12,10,31,South Dakota,75081,11.9,2.9,True,2.0,1.0,1700000.0,1.1020158073147401,2.2040316146294803,34.0,True,False,False,Higher Reporting + Higher Resources
Tennessee,428,1.32,213,1.77,2024,TN,47,2.01,17,Tennessee,7066383,6.06,3.01,24,27,-7,Tennessee,69595,13.8,4.7,False,4.0,3.0,2750791.41,0.42454534377771486,0.5660604583702865,71.0,False,True,False,Lower Reporting + Lower Resources
Texas,2418,7.48,1360,11.33,2024,TX,48,1.78,2,Texas,30188424,8.01,4.51,4,12,-2,Texas,78476,13.8,5.3,True,22.0,15.0,15077734.37,0.4968792011136455,0.7287561616333466,90.66666666666667,True,True,True,Potential Resource Pressure
Utah,196,0.61,99,0.82,2024,UT,49,1.98,31,Utah,3392331,5.78,2.92,27,30,4,Utah,95166,8.5,3.6,False,5.0,2.0,3773274.25,0.589565110244254,1.4739127756106347,49.5,False,True,False,Lower Reporting + Lower Resources
Vermont,26,0.08,15,0.12,2024,VT,50,1.73,51,Vermont,647106,4.02,2.32,41,46,10,Vermont,81203,10.1,3.6,False,1.0,1.0,397883.0,1.5453418759832238,1.5453418759832238,15.0,False,False,False,Lower Reporting + Higher Resources
Virginia,661,2.05,228,1.9,2024,VA,51,2.9,16,Virginia,8705170,7.59,2.62,38,15,-22,Virginia,93170,9.9,4.3,False,16.0,11.0,19030142.11,1.2636169081132245,1.8379882299828723,20.727272727272727,False,False,False,Lower Reporting + Higher Resources
Washington,659,2.04,271,2.26,2024,WA,53,2.43,13,Washington,7816116,8.43,3.47,16,9,-3,Washington,98141,9.9,5.1,False,12.0,8.0,8064456.98,1.0235262629162618,1.5352893943743926,33.875,False,False,False,Lower Reporting + Higher Resources
West Virginia,66,0.2,38,0.32,2024,WV,54,1.74,42,West Virginia,1778373,3.71,2.14,44,49,-2,West Virginia,59608,16.7,5.4,False,1.0,1.0,795000.0,0.5623117310035634,0.5623117310035634,38.0,False,True,False,Lower Reporting + Lower Resources
Wisconsin,277,0.86,111,0.92,2024,WI,55,2.5,29,Wisconsin,5914872,4.68,1.88,46,41,-17,Wisconsin,77485,10.6,3.2,False,8.0,5.0,6115566.0,0.8453268304030924,1.352522928644948,22.2,False,False,False,Lower Reporting + Higher Resources
Wyoming,29,0.09,17,0.14,2024,WY,56,1.71,50,Wyoming,582397,4.98,2.92,27,39,23,Wyoming,76176,10.5,3.7,False,0.0,0.0,0.0,0.0,0.0,,False,True,False,Lower Reporting + Lower Resources
